Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
"Advanced Care Partners, LLC",GA,Healthcare Provider,518,2023-08-03,Unauthorized Access/Disclosure,Email,No,
"Grane Supply, Inc.",PA,Healthcare Provider,798,2023-08-01,Unauthorized Access/Disclosure,Email,No,
Howard County General Hospital,MD,Healthcare Provider,2975,2023-07-31,Hacking/IT Incident,Network Server,Yes,
UC Davis Health,CA,Healthcare Provider,3201,2023-07-28,Hacking/IT Incident,Email,No,
Baylor College of Medicine,TX,Healthcare Provider,504,2023-07-28,Hacking/IT Incident,Network Server,Yes,
Jefferson County Health Center,IA,Healthcare Provider,53827,2023-07-28,Hacking/IT Incident,Network Server,No,
The Chattanooga Heart Institute,TN,Healthcare Provider,170450,2023-07-28,Hacking/IT Incident,Network Server,No,
Allegheny County ,PA,Healthcare Provider,689686,2023-07-28,Hacking/IT Incident,Network Server,No,
"Florida Health Sciences Center, Inc. dba Tampa General Hospital ",FL,Healthcare Provider,2430920,2023-07-28,Hacking/IT Incident,Network Server,No,
Gladden Farms Family Dentistry,AZ,Healthcare Provider,3085,2023-07-27,Hacking/IT Incident,Network Server,No,
Saint Francis Health System,OK,Healthcare Provider,18911,2023-07-26,Hacking/IT Incident,Network Server,No,
"Hillsborough County, Florida (County Government)",FL,Healthcare Provider,70636,2023-07-26,Hacking/IT Incident,Other,No,
"Life Management Center of Northwest Florida, Inc. ",FL,Healthcare Provider,19107,2023-07-25,Hacking/IT Incident,Network Server,No,
"Family Vision of Anderson, P.A.",SC,Healthcare Provider,62631,2023-07-25,Hacking/IT Incident,Network Server,No,
Johns Hopkins Medicine,MD,Healthcare Provider,310405,2023-07-25,Hacking/IT Incident,Network Server,No,
UT Southwestern Medical Center,TX,Healthcare Provider,98437,2023-07-24,Hacking/IT Incident,Network Server,No,
Sutter Senior Care ,CA,Healthcare Provider,519,2023-07-22,Hacking/IT Incident,Network Server,Yes,
Harris County Hospital District d/b/a Harris Health System ,TX,Healthcare Provider,455676,2023-07-21,Hacking/IT Incident,Network Server,No,
Pennsylvania Department of Human Services,PA,Healthcare Provider,16390,2023-07-21,Unauthorized Access/Disclosure,Other,No,
"New England Life Care, Inc.",ME,Healthcare Provider,51854,2023-07-21,Hacking/IT Incident,Network Server,No,
"Mindful Innovations, PLLC",NC,Healthcare Provider,1900,2023-07-20,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Laptop",No,
Rite Aid Corporation ,PA,Healthcare Provider,24400,2023-07-19,Hacking/IT Incident,Network Server,No,
"Stephen Harkins, DDS, PC, dba: Harkins Pain & Sleep Management Group",AZ,Healthcare Provider,6411,2023-07-18,Hacking/IT Incident,Network Server,No,
ACUPUNCTURE AND INTEGRATIVE SOLUTIONS INCORPORATED,OH,Healthcare Provider,750,2023-07-18,Hacking/IT Incident,Network Server,No,
"IVF Michigan, P.C.",MI,Healthcare Provider,9383,2023-07-18,Hacking/IT Incident,Network Server,No,
Tahoe Forest Hospital District,CA,Healthcare Provider,1119,2023-07-17,Unauthorized Access/Disclosure,Paper/Films,Yes,
Fairfax Oral and Maxillofacial Surgery ,VA,Healthcare Provider,208194,2023-07-14,Hacking/IT Incident,Network Server,No,
"The Pavillion at Health Park, LLC dba Park Royal Hospital",FL,Healthcare Provider,500,2023-07-14,Hacking/IT Incident,Email,No,
Wake Family Eye Care,NC,Healthcare Provider,14264,2023-07-14,Hacking/IT Incident,Network Server,No,
East Houston Med And Ped Clinic,TX,Healthcare Provider,10000,2023-07-13,Unauthorized Access/Disclosure,Paper/Films,No,
Konen & Associates dba Unified Pain Management ,TX,Healthcare Provider,500,2023-07-12,Hacking/IT Incident,Email,No,
Charles George Department of Veterans Affairs Medical Center,NC,Healthcare Provider,1541,2023-07-11,Unauthorized Access/Disclosure,Email,No,
Catholic Charities of the Archdiocese of Newark,NJ,Healthcare Provider,501,2023-07-07,Hacking/IT Incident,Network Server,No,
"Miracle-Ear Flagship, LLC",MN,Healthcare Provider,3560,2023-07-07,Hacking/IT Incident,Email,No,
Norton Healthcare Inc.,KY,Healthcare Provider,501,2023-07-07,Hacking/IT Incident,Network Server,No,
Public Health Management Corporation,PA,Healthcare Provider,501,2023-07-06,Hacking/IT Incident,Network Server,No,
"Phoenician Medical Center, Inc",AZ,Healthcare Provider,162500,2023-07-05,Hacking/IT Incident,Network Server,No,
Mountain View Hospital ,ID,Healthcare Provider,1043,2023-07-03,Hacking/IT Incident,Network Server,No,
Eastern Connecticut Health Network,CT,Healthcare Provider,912,2023-07-02,Unauthorized Access/Disclosure,Email,No,
Deanco Healthcare LLC dba Mission Community Hospital,CA,Healthcare Provider,500,2023-06-30,Hacking/IT Incident,Network Server,No,
ARx Patient Solutions,KS,Healthcare Provider,41166,2023-06-30,Unauthorized Access/Disclosure,Email,No,
"Mount Desert Island Hospital, Inc.",ME,Healthcare Provider,24180,2023-06-30,Hacking/IT Incident,Network Server,No,
"South Suburban Surgical Suites, LLC",IN,Healthcare Provider,5340,2023-06-30,Hacking/IT Incident,Email,No,
Partnership Health Center,MT,Healthcare Provider,8331,2023-06-29,Unauthorized Access/Disclosure,Email,No,
Henrietta Johnson Medical Center,DE,Healthcare Provider,500,2023-06-27,Hacking/IT Incident,Network Server,Yes,
Itasca County Health & Human Services,MN,Healthcare Provider,1413,2023-06-27,Hacking/IT Incident,Email,No,
"Tidewater Diagnostic Imaging, Ltd.",MA,Healthcare Provider,40195,2023-06-26,Hacking/IT Incident,Network Server,No,
Activate Healthcare LLC,IL,Healthcare Provider,93761,2023-06-23,Hacking/IT Incident,Network Server,No,
"Senior Choice, Inc. d/b/a The Atrium(216 Main St, Johnstown, PA) Beacon Ridge(1515 Wayne Ave, Indiana, PA) & The Patriot(495 W Patriot St, Somerset PA",PA,Healthcare Provider,500,2023-06-23,Hacking/IT Incident,Network Server,No,
The Williamsport Home,PA,Healthcare Provider,500,2023-06-23,Hacking/IT Incident,Network Server,No,
"DMS Health Technologies, Inc. ",ND,Healthcare Provider,48336,2023-06-21,Hacking/IT Incident,Network Server,No,
Murfreesboro Medical Clinic & SurgiCenter,TN,Healthcare Provider,559000,2023-06-21,Hacking/IT Incident,Network Server,No,
City of San Luis,AZ,Healthcare Provider,6848,2023-06-20,Hacking/IT Incident,Email,No,
Community Research Foundation,CA,Healthcare Provider,30236,2023-06-20,Hacking/IT Incident,Network Server,No,
Quatela Center for Plastic Surgery,NY,Healthcare Provider,1085,2023-06-20,Unauthorized Access/Disclosure,Email,No,
VINCERA IMAGING LLC,PA,Healthcare Provider,5000,2023-06-20,Hacking/IT Incident,Network Server,No,
VINCERA REHAB LLC,PA,Healthcare Provider,5000,2023-06-20,Hacking/IT Incident,Network Server,No,
VINCERA SURGERY CENTER,PA,Healthcare Provider,5000,2023-06-20,Hacking/IT Incident,Network Server,No,
"Peachtree Orthopaedic Clinic, P.A.",GA,Healthcare Provider,34691,2023-06-19,Hacking/IT Incident,Network Server,No,
Atrium Health Wake Forest Baptist ,NC,Healthcare Provider,3679,2023-06-16,Hacking/IT Incident,Email,No,
"Core Recovery, LLC",AZ,Healthcare Provider,2656,2023-06-16,Hacking/IT Incident,Email,No,
"New Horizons Medical, Inc",MA,Healthcare Provider,12317,2023-06-16,Hacking/IT Incident,Network Server,No,
Great Valley Cardiology,PA,Healthcare Provider,181764,2023-06-12,Hacking/IT Incident,Network Server,No,
"Atlanta Women's Health Group, P.C.",GA,Healthcare Provider,33839,2023-06-11,Hacking/IT Incident,Network Server,No,
Valley Obstetrics & Gynecology PC,UT,Healthcare Provider,500,2023-06-09,Hacking/IT Incident,Network Server,No,
Henry Ford Health,MI,Healthcare Provider,168215,2023-06-06,Hacking/IT Incident,Email,No,
Ascension Providence,TX,Healthcare Provider,1415,2023-06-06,Hacking/IT Incident,Network Server,Yes,
Ascension Seton,TX,Healthcare Provider,17191,2023-06-06,Hacking/IT Incident,Network Server,Yes,
Southeast Nursing and Rehab Center,TX,Healthcare Provider,600,2023-06-06,Improper Disposal,"Other, Paper/Films",No,
"Enzo Clinical Labs, Inc.",NY,Healthcare Provider,2470000,2023-06-05,Hacking/IT Incident,Network Server,No,
"South Jersey Behavorial Health Resources, Inc.",NJ,Healthcare Provider,501,2023-06-04,Hacking/IT Incident,Network Server,No,
"John N. Evans, DPM",MI,Healthcare Provider,15585,2023-06-03,Hacking/IT Incident,Network Server,No,
"Mississippi Children’s Home Society, CARES Center, Inc., Mississippi Children’s Home Services, Inc., d.b.a. Canopy Children’s Solutions",MS,Healthcare Provider,501,2023-06-02,Hacking/IT Incident,Network Server,No,
"CareNet Medical Group, PC",NY,Healthcare Provider,10059,2023-06-02,Hacking/IT Incident,Network Server,No,
MUSC Health Lancaster Medical Center,SC,Healthcare Provider,1802,2023-06-02,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Mercy Medical Center - Clinton, Inc.",IA,Healthcare Provider,20865,2023-06-02,Hacking/IT Incident,Network Server,No,
Petaluma Health Center,CA,Healthcare Provider,124862,2023-06-02,Hacking/IT Incident,Network Server,No,
Maimonides Medical Center,NY,Healthcare Provider,33000,2023-06-01,Hacking/IT Incident,Network Server,No,
Pain Relief Centers PA,NC,Healthcare Provider,7000,2023-06-01,Unauthorized Access/Disclosure,Electronic Medical Record,No,
North Shore Medical Labs,NY,Healthcare Provider,500,2023-05-26,Hacking/IT Incident,Network Server,No,
Sparta Community Hospital District,IL,Healthcare Provider,900,2023-05-26,Hacking/IT Incident,Email,No,
"South Jersey Behavioral Health Resources, Inc.",NJ,Healthcare Provider,2193,2023-05-26,Hacking/IT Incident,Email,No,
Valley Orthopaedic Specialists,CT,Healthcare Provider,5062,2023-05-26,Hacking/IT Incident,Network Server,No,
Lancaster Orthopedic Group,PA,Healthcare Provider,500,2023-05-26,Hacking/IT Incident,Network Server,No,
"Albany ENT & Allergy Services, PC.",NY,Healthcare Provider,224486,2023-05-25,Hacking/IT Incident,Network Server,No,
Asian Health Services,CA,Healthcare Provider,6270,2023-05-25,Hacking/IT Incident,Email,No,
"Goodwill Industries of Greater New York and Northern NJ, Inc.",NY,Healthcare Provider,805,2023-05-24,Hacking/IT Incident,Email,No,
"Vascular Center of Intervention, Inc.",CA,Healthcare Provider,3833,2023-05-24,Hacking/IT Incident,Network Server,No,
"UI Community Home Care, a subsidiary of University of Iowa Health System ",IA,Healthcare Provider,67897,2023-05-24,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
Culbertson Memorial Hospital ,IL,Healthcare Provider,501,2023-05-24,Hacking/IT Incident,Network Server,No,
Grant Regional Health Center,WI,Healthcare Provider,4135,2023-05-23,Hacking/IT Incident,Email,No,
County of Sacramento,CA,Healthcare Provider,5525,2023-05-23,Hacking/IT Incident,Email,No,
PillPack LLC,NH,Healthcare Provider,19032,2023-05-19,Hacking/IT Incident,Network Server,No,
Tennessee Orthopaedic Clinics ,TN,Healthcare Provider,500,2023-05-19,Hacking/IT Incident,Network Server,No,
"Hiawatha Harris MD, Inc. dba Pathways to Wellness Medication Clinics",CA,Healthcare Provider,9182,2023-05-18,Hacking/IT Incident,Network Server,No,
University of Missouri Health Care ,MO,Healthcare Provider,736,2023-05-17,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Clarke County Hospital   ,IA,Healthcare Provider,28003,2023-05-17,Hacking/IT Incident,Network Server,No,
"Essen Medical Associates, P.C.",NY,Healthcare Provider,500,2023-05-16,Hacking/IT Incident,Network Server,No,
Fertility Specialists Medical Group,CA,Healthcare Provider,9437,2023-05-15,Hacking/IT Incident,Network Server,No,
Lehigh Valley Health Network (blackcat),PA,Healthcare Provider,248359,2023-05-15,Hacking/IT Incident,Network Server,No,
PharMerica Corporation,KY,Healthcare Provider,5815591,2023-05-12,Hacking/IT Incident,Network Server,No,
Great Expressions Dental Centers,MI,Healthcare Provider,528,2023-05-12,Hacking/IT Incident,Network Server,No,
Catholic Health System,NY,Healthcare Provider,12759,2023-05-11,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
Uintah Basin Healthcare,UT,Healthcare Provider,103974,2023-05-10,Hacking/IT Incident,Network Server,No,
"Smile Doctors of Arizona, P.C. d/b/a Grinz Orthodontics (""Grinz Orthodontics"")",AZ,Healthcare Provider,1034,2023-05-09,Theft,Desktop Computer,No,
"ASAS Health, LLC",TX,Healthcare Provider,25527,2023-05-06,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",No,
People Incorporated of Sequoyah County,OK,Healthcare Provider,8725,2023-05-05,Hacking/IT Incident,Network Server,No,
New Mexico Department of Health,NM,Healthcare Provider,49000,2023-05-04,Unauthorized Access/Disclosure,Other,No,
Methodist Family Health,AR,Healthcare Provider,5259,2023-05-03,Hacking/IT Incident,Network Server,No,
Northwest Health – La Porte,IN,Healthcare Provider,10256,2023-05-02,Unauthorized Access/Disclosure,Paper/Films,No,
Herbert J. Thomas Memorial Hospital Association dba Thomas Memorial Hospital ,WV,Healthcare Provider,2563,2023-05-02,Hacking/IT Incident,Network Server,Yes,
University Urology,NY,Healthcare Provider,56816,2023-05-01,Hacking/IT Incident,Network Server,No,
Summit Eye & Optical,NJ,Healthcare Provider,5727,2023-05-01,Hacking/IT Incident,Network Server,No,
ReDiscover Mental Health,MO,Healthcare Provider,877,2023-05-01,Unauthorized Access/Disclosure,Email,No,
Link Audiology LLC,WA,Healthcare Provider,7200,2023-04-28,Hacking/IT Incident,Email,No,
"Grohler Hearing Aid Center, INC DBA Beltone Hearing Aid Centers",VA,Healthcare Provider,5272,2023-04-28,Hacking/IT Incident,Email,No,
Allina Health,MN,Healthcare Provider,1042,2023-04-28,Unauthorized Access/Disclosure,Network Server,No,
"Unlimited Care, Inc. ",NY,Healthcare Provider,8453,2023-04-27,Hacking/IT Incident,Network Server,No,
Delphi Drug & Alcohol Council,NY,Healthcare Provider,6288,2023-04-27,Hacking/IT Incident,Email,No,
"University of California, San Francisco",CA,Healthcare Provider,676,2023-04-26,Hacking/IT Incident,Email,No,
Lake County Health Department and Community Health Center,IL,Healthcare Provider,17000,2023-04-25,Hacking/IT Incident,Email,No,
Robeson Health Care Corporation,NC,Healthcare Provider,15045,2023-04-21,Hacking/IT Incident,Network Server,No,
Modern Cardiology Associates,,Healthcare Provider,10000,2023-04-19,Hacking/IT Incident,Network Server,No,
Graceworks Lutheran Services,OH,Healthcare Provider,6737,2023-04-19,Hacking/IT Incident,Network Server,No,
"Ethan Health, LLC",KY,Healthcare Provider,4047,2023-04-14,Hacking/IT Incident,Email,No,
MiniMed Distribution Corp.,CA,Healthcare Provider,58374,2023-04-14,Unauthorized Access/Disclosure,Network Server,No,
Dallas County,TX,Healthcare Provider,501,2023-04-14,Improper Disposal,Desktop Computer,No,
Two Rivers Public Health Department,NE,Healthcare Provider,15168,2023-04-14,Hacking/IT Incident,Email,No,
Henry County Hospital,OH,Healthcare Provider,3689,2023-04-14,Hacking/IT Incident,Network Server,Yes,
Cummins Behavioral Health Systems,IN,Healthcare Provider,501,2023-04-12,Hacking/IT Incident,Network Server,No,
"Retina & Vitreous of Texas, PLLC",TX,Healthcare Provider,35766,2023-04-10,Hacking/IT Incident,Network Server,No,
Yukon Kuskokwim Health Corporation ,AK,Healthcare Provider,51787,2023-04-10,Hacking/IT Incident,Network Server,No,
"St. Vincent’s Ambulatory Care, Inc.",FL,Healthcare Provider,768,2023-04-10,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"La Clínica de La Raza, Inc.",CA,Healthcare Provider,15316,2023-04-07,Hacking/IT Incident,Email,No,
Gretna Family Health,NE,Healthcare Provider,845,2023-04-07,Hacking/IT Incident,Network Server,No,
"St. Luke's Health System, Ltd. ",ID,Healthcare Provider,15246,2023-04-06,Unauthorized Access/Disclosure,Paper/Films,No,
banis plastci surgery,KY,Healthcare Provider,4498,2023-04-04,Unauthorized Access/Disclosure,Email,No,
Chippewa County,WI,Healthcare Provider,842,2023-04-04,Hacking/IT Incident,Network Server,No,
"Integrative Health of Utah, PLLC",UT,Healthcare Provider,600,2023-04-03,Theft,"Electronic Medical Record, Paper/Films",No,
Southwest Healthcare Services,ND,Healthcare Provider,15996,2023-04-01,Hacking/IT Incident,Network Server,No,
"Tallahassee Memorial Healthcare, Inc.",FL,Healthcare Provider,20376,2023-03-31,Hacking/IT Incident,Network Server,No,
"WellBe Senior Medical, LLC",IL,Healthcare Provider,19567,2023-03-30,Hacking/IT Incident,Network Server,No,
Aspire Health Partners ,FL,Healthcare Provider,999,2023-03-29,Improper Disposal,Paper/Films,No,
"American Pain and Wellness, PLLC",TX,Healthcare Provider,7457,2023-03-24,Hacking/IT Incident,Network Server,No,
NewBridge Services,NJ,Healthcare Provider,1457,2023-03-24,Hacking/IT Incident,Network Server,No,
Adams County Children and Youth Services,PA,Healthcare Provider,722,2023-03-24,Hacking/IT Incident,Email,No,
Atlantic General Hospital,MD,Healthcare Provider,26591,2023-03-24,Hacking/IT Incident,Network Server,No,
Frideres Dental LLC,OR,Healthcare Provider,1596,2023-03-24,Hacking/IT Incident,Email,No,
New Medical Healthcare,KS,Healthcare Provider,1557,2023-03-22,Unauthorized Access/Disclosure,Email,No,
"McAllen Hospitals, LP d/b/a South Texas Health System",TX,Healthcare Provider,500,2023-03-20,Hacking/IT Incident,Email,No,
NewYork-Presbyterian Hospital,NY,Healthcare Provider,54396,2023-03-20,Unauthorized Access/Disclosure,Network Server,No,
"Integrated Supports for Living, Inc.",OR,Healthcare Provider,1161,2023-03-20,Hacking/IT Incident,Network Server,No,
Majestic Care Middletown Assisted Living LLC,IN,Healthcare Provider,2636,2023-03-17,Hacking/IT Incident,Network Server,No,
"OU Medicine, Inc. d/b/a OU Health",OK,Healthcare Provider,3013,2023-03-17,Theft,Laptop,No,
Associates in Dermatology,KY,Healthcare Provider,8517,2023-03-17,Hacking/IT Incident,Network Server,Yes,
UC San Diego Health ,CA,Healthcare Provider,23000,2023-03-16,Unauthorized Access/Disclosure,"Network Server, Other",Yes,
"AllCare Plus Pharmacy, Inc.",MA,Healthcare Provider,757,2023-03-15,Hacking/IT Incident,Email,No,
Healthy Options dba Postal Prescription Services – Kroger ,OH,Healthcare Provider,82466,2023-03-15,Unauthorized Access/Disclosure,Network Server,No,
Top of the World Ranch Treatment Center,IL,Healthcare Provider,1980,2023-03-14,Hacking/IT Incident,Email,No,
NorthStar Emergency Medical Services,AL,Healthcare Provider,82450,2023-03-14,Hacking/IT Incident,Network Server,No,
Beach District Surgery Center,CA,Healthcare Provider,3560,2023-03-13,Hacking/IT Incident,Email,Yes,
"Bone & Joint Clinic, S.C.",WI,Healthcare Provider,105094,2023-03-13,Hacking/IT Incident,Network Server,No,
"Ryu Physical Therapy, P.C.",CA,Healthcare Provider,500,2023-03-11,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
ZOLL Services LLC ,MA,Healthcare Provider,997097,2023-03-10,Hacking/IT Incident,Network Server,No,
"Florida Medical Clinic, LLC",FL,Healthcare Provider,94132,2023-03-10,Hacking/IT Incident,Network Server,No,
"Colquitt Complete Care, LLC",GA,Healthcare Provider,1282,2023-03-10,Hacking/IT Incident,Network Server,Yes,
"Department of Economic Security, Division of Developmental Disabilities",AZ,Healthcare Provider,857,2023-03-10,Unauthorized Access/Disclosure,Paper/Films,No,
Beacon Health System,IN,Healthcare Provider,3117,2023-03-10,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Community Health Centers of Greater Dayton,OH,Healthcare Provider,516,2023-03-08,Unauthorized Access/Disclosure,Email,No,
The Chautauqua Center Inc.,NY,Healthcare Provider,745,2023-03-06,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
"Northeast Surgical Group, PC",MI,Healthcare Provider,15298,2023-03-06,Hacking/IT Incident,Network Server,No,
Codman Square Health Center,MA,Healthcare Provider,10161,2023-03-01,Hacking/IT Incident,Network Server,No,
MHMR Authority of Brazos Valley ,TX,Healthcare Provider,78984,2023-02-28,Hacking/IT Incident,Network Server,No,
Valera Health,NY,Healthcare Provider,2317,2023-02-28,Unauthorized Access/Disclosure,Email,No,
Asante,OR,Healthcare Provider,8834,2023-02-24,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Aloha Nursing Rehab Centre,HI,Healthcare Provider,20216,2023-02-24,Hacking/IT Incident,Network Server,No,
White Bird Clinic,OR,Healthcare Provider,584,2023-02-23,Unauthorized Access/Disclosure,Email,No,
Sharp Healthcare,CA,Healthcare Provider,62777,2023-02-17,Hacking/IT Incident,Network Server,No,
"Hutchinson Clinic, P.A. ",KS,Healthcare Provider,100000,2023-02-17,Hacking/IT Incident,Network Server,No,
San Juan Regional Medical Center,NM,Healthcare Provider,8500,2023-02-15,Hacking/IT Incident,Network Server,Yes,
Integrative Dentistry,WA,Healthcare Provider,2281,2023-02-14,Hacking/IT Incident,Network Server,No,
"CentraState Healthcare System, Inc.",NJ,Healthcare Provider,617901,2023-02-10,Hacking/IT Incident,Network Server,No,
Compass Behavioral Health,KS,Healthcare Provider,537,2023-02-10,Hacking/IT Incident,Email,No,
Evergreen Treatment Services,WA,Healthcare Provider,21325,2023-02-10,Hacking/IT Incident,Network Server,No,
Wentworth Health Partners Garrison Women's Health,NH,Healthcare Provider,4158,2023-02-10,Hacking/IT Incident,Electronic Medical Record,Yes,
CVS Specialty,RI,Healthcare Provider,740,2023-02-10,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
Nelson Pharmacy Consulting Services PLC,IA,Healthcare Provider,500,2023-02-10,Hacking/IT Incident,"Desktop Computer, Network Server",No,
"Cheyenne Radiology Group & MRI, P.C.",WY,Healthcare Provider,500,2023-02-09,Hacking/IT Incident,Network Server,No,
"Tattnall County, Georgia",GA,Healthcare Provider,1337,2023-02-09,Hacking/IT Incident,Network Server,No,
"NR Pennsylvania Associates, LLC",PA,Healthcare Provider,14335,2023-02-07,Hacking/IT Incident,Network Server,No,
"NR Connecticut, LLC",CT,Healthcare Provider,2160,2023-02-07,Hacking/IT Incident,Network Server,No,
"Frank R. Laurri, M.D. and Associates, P.C.",NY,Healthcare Provider,2673,2023-02-07,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Vitra Health, Inc.",MA,Healthcare Provider,1618,2023-02-06,Hacking/IT Incident,Email,No,
Cardiovascular Associates,AL,Healthcare Provider,441640,2023-02-03,Hacking/IT Incident,Network Server,No,
Southeast Colorado Hospital District,CO,Healthcare Provider,1435,2023-02-03,Hacking/IT Incident,Email,No,
Hospice of the Valley,AZ,Healthcare Provider,3840,2023-02-03,Hacking/IT Incident,Email,No,
"UT Specialty Dental Services, PLLC d/b/a Aspire Surgical",UT,Healthcare Provider,5327,2023-02-02,Hacking/IT Incident,Network Server,No,
The Institute for Liver Health dba Arizona Liver Health-Arizona Clinical Trials,AZ,Healthcare Provider,1277,2023-02-01,Hacking/IT Incident,Network Server,No,
"Arizona Health Advantage, Inc. d/b/a Arizona Priority Care; AZPC Clinics, LLC; and the health plans for which APC has executed a BAA, listed below",AZ,Healthcare Provider,10978,2023-02-01,Hacking/IT Incident,Network Server,No,
"Regal Medical Group,Lakeside Medical Organization, ADOC Acquisition, & Greater Covina Medical Group",CA,Healthcare Provider,3388856,2023-02-01,Hacking/IT Incident,Network Server,No,
Institute for Hormonal Balance,TX,Healthcare Provider,597,2023-01-31,Theft,Paper/Films,No,
Brooks Rehabilitation,FL,Healthcare Provider,1554,2023-01-31,Unauthorized Access/Disclosure,Network Server,No,
