Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
"Utah Medicaid, Division of Integrated Healthcare: Utah Department of Health and Human Services",UT,Health Plan,5800,2023-06-06,Unauthorized Access/Disclosure,Paper/Films,Yes,
"T. Rowe Price Group, Inc.",MD,Health Plan,684,2023-06-02,Hacking/IT Incident,Network Server,Yes,
Builders FirstSource Flex Plan,TX,Health Plan,3690,2023-05-30,Hacking/IT Incident,Network Server,No,
Alaska Railroad Corporation Welfare Benefits Plan,AK,Health Plan,3549,2023-05-25,Hacking/IT Incident,Network Server,No,
Harvard Pilgrim Health Care,MA,Health Plan,2550922,2023-05-24,Hacking/IT Incident,Network Server,No,
"The CSC Generation Holdings, Inc. Health and Welfare Plan",WA,Health Plan,2219,2023-05-24,Hacking/IT Incident,Network Server,No,
"PartsSource, Inc. Welfare Benefit Plan",OH,Health Plan,1474,2023-05-19,Hacking/IT Incident,Network Server,No,
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Service",NJ,Health Plan,552,2023-05-16,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No,
Buckeye Health Plan,OH,Health Plan,686,2023-05-16,Unauthorized Access/Disclosure,Email,No,
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services",IL,Health Plan,50839,2023-05-12,Hacking/IT Incident,Network Server,No,
Health Benefit Plan of the Anchorage School District,AK,Health Plan,4598,2023-05-12,Theft,Laptop,No,
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,1116,2023-05-12,Unauthorized Access/Disclosure,Email,No,
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,1971,2023-05-05,Unauthorized Access/Disclosure,Network Server,No,
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,26561,2023-05-05,Hacking/IT Incident,Network Server,No,
"Our Sunday Visitor, Inc.",IN,Health Plan,965,2023-05-05,Hacking/IT Incident,Network Server,No,
Mars Area School District  ,PA,Health Plan,1270,2023-04-24,Hacking/IT Incident,Network Server,No,
Upper Peninsula Health Plan ,MI,Health Plan,833,2023-04-20,Hacking/IT Incident,Network Server,Yes,
Morgan Stanley,NY,Health Plan,535,2023-04-18,Unauthorized Access/Disclosure,Paper/Films,No,
United Steelworkers Local 286,PA,Health Plan,37965,2023-04-14,Hacking/IT Incident,Email,No,
Iowa Department of Health and Human Services - Iowa Medicaid Enterprise (Iowa HHS-IME),IA,Health Plan,20815,2023-04-10,Hacking/IT Incident,Network Server,Yes,
California Physicians’ Services dba Blue Shield of California,CA,Health Plan,1553,2023-04-05,Hacking/IT Incident,Network Server,Yes,
NORTHEAST BEHAVIORAL HEALTH CARE CONSORTIUM,PA,Health Plan,13240,2023-04-05,Hacking/IT Incident,Email,No,
Santa Clara Family Health Plan,CA,Health Plan,276993,2023-03-30,Hacking/IT Incident,Network Server,Yes,
Health Plan of San Mateo,CA,Health Plan,11894,2023-03-17,Hacking/IT Incident,Email,No,
California Department of Health Care Services,CA,Health Plan,6460,2023-03-14,Unauthorized Access/Disclosure,Paper/Films,Yes,
"EPIC Management, LLC",CA,Health Plan,1190,2023-03-08,Hacking/IT Incident,Email,No,
The M K Morse Company's Health Plan,OH,Health Plan,1378,2023-03-08,Hacking/IT Incident,Network Server,No,
Denver Public Schools Medical Plans,CO,Health Plan,35068,2023-03-03,Hacking/IT Incident,Network Server,No,
Community Health Group ,CA,Health Plan,824,2023-02-28,Hacking/IT Incident,Network Server,Yes,
Clarity Child Guidance Center,TX,Health Plan,531,2023-02-28,Unauthorized Access/Disclosure,Email,No,
Highmark Inc,PA,Health Plan,239039,2023-02-10,Hacking/IT Incident,Email,No,
Health Benefit Plan of Bridgewater-Raritan Regional School District,NJ,Health Plan,3909,2023-02-09,Hacking/IT Incident,Network Server,No,
Teijin Automotive Technologies Welfare Plan,MI,Health Plan,25464,2023-02-06,Hacking/IT Incident,Network Server,No,
City of Cleveland Health Plan,OH,Health Plan,15206,2023-01-20,Unauthorized Access/Disclosure,Network Server,No,
Health Plan of San Mateo,CA,Health Plan,4032,2023-01-18,Hacking/IT Incident,Network Server,Yes,
1st Franklin Financial Corporation Master Welfare Benefit Plan,GA,Health Plan,3039,2023-01-13,Hacking/IT Incident,Email,No,
"L. Knife & Son, Inc. Employee Benefits Plan",MA,Health Plan,4082,2022-12-30,Hacking/IT Incident,Network Server,No,
"Bosselman Energy, Inc. Employee Health Benefits Plan",NE,Health Plan,735,2022-12-29,Hacking/IT Incident,Network Server,No,
Aetna ACE,CT,Health Plan,4222,2022-12-27,Hacking/IT Incident,Email,No,
KEMET Electronics Medical/Dental/EAP,FL,Health Plan,2927,2022-12-09,Hacking/IT Incident,Network Server,No,
"Employee Group Insurance Benefits Plan of Acuity Brands, Inc.",GA,Health Plan,20849,2022-12-06,Hacking/IT Incident,Network Server,No,
"Innovative Service Technology Management Services, Inc. ",GA,Health Plan,2654,2022-11-17,Hacking/IT Incident,Network Server,No,
Arkansas Department of Human Services,AR,Health Plan,925,2022-11-15,Unauthorized Access/Disclosure,Email,No,
"CCA Health Plans of California, Inc d/b/a CCA Health CA",CA,Health Plan,14631,2022-11-15,Hacking/IT Incident,Network Server,No,
GATE Petroleum Company Employee Benefits Plan ,FL,Health Plan,4912,2022-11-09,Hacking/IT Incident,Network Server,No,
Alta Forest Products Health and Welfare Plan,WA,Health Plan,2100,2022-10-31,Hacking/IT Incident,Network Server,No,
"Administrative Fund of the Detectives’ Endowment Association, Inc., Police Department City of New York",NY,Health Plan,21544,2022-10-31,Hacking/IT Incident,Email,No,
"SightCare, Inc.",AZ,Health Plan,637999,2022-10-28,Hacking/IT Incident,Network Server,Yes,
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Services",NJ,Health Plan,3900,2022-10-27,Unauthorized Access/Disclosure,Email,No,
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services ",IL,Health Plan,480435,2022-10-21,Hacking/IT Incident,Network Server,No,
"Wenco Management, LLC Health and Welfare Benefit Plan",OH,Health Plan,20526,2022-10-20,Hacking/IT Incident,Network Server,No,
Fontainebleau Development Health and Welfare Plan ,FL,Health Plan,1825,2022-10-20,Hacking/IT Incident,Network Server,No,
Blue Cross and Blue Shield of Kansas,KS,Health Plan,1308,2022-10-14,Hacking/IT Incident,Network Server,No,
Defense Health Headquarters,VA,Health Plan,1279,2022-10-12,Hacking/IT Incident,Network Server,No,
Wisconsin Department of Health Services,WI,Health Plan,12358,2022-10-07,Unauthorized Access/Disclosure,Email,No,
CareOregon,OR,Health Plan,8022,2022-10-05,Unauthorized Access/Disclosure,Paper/Films,No,
Anthem ACE,IN,Health Plan,13406,2022-09-30,Unauthorized Access/Disclosure,Network Server,Yes,
Extended MLTC,NY,Health Plan,5494,2022-09-26,Hacking/IT Incident,Network Server,Yes,
FEDERAL EXPRESS CORPORATION GROUP HEALTH PLAN FOR PILOTS,TN,Health Plan,983,2022-09-09,Hacking/IT Incident,Network Server,Yes,
"Lawson Products, Inc.",IL,Health Plan,791,2022-07-26,Hacking/IT Incident,Network Server,No,
Santa Rosa County District Schools,FL,Health Plan,9424,2022-07-25,Unauthorized Access/Disclosure,Network Server,No,
"City of Newport, Rhode Island",RI,Health Plan,6109,2022-07-22,Hacking/IT Incident,Network Server,No,
"Cavender Stores, Ltd Health Plan",TX,Health Plan,4447,2022-07-20,Hacking/IT Incident,Network Server,No,
Wisconsin Department of Health Services,WI,Health Plan,1698,2022-07-08,Hacking/IT Incident,Network Server,Yes,
"Tosoh America, Inc.",OH,Health Plan,880,2022-06-17,Hacking/IT Incident,Email,No,
City of Cincinnati Health Plan,OH,Health Plan,9769,2022-06-16,Unauthorized Access/Disclosure,Network Server,No,
Mason Tenders’ District Council Welfare Fund,NY,Health Plan,13344,2022-06-16,Hacking/IT Incident,Network Server,No,
NLB Corporation,MI,Health Plan,1943,2022-05-26,Hacking/IT Incident,Network Server,No,
Washington University School of Medicine,MO,Health Plan,500,2022-05-23,Hacking/IT Incident,Email,No,
Partnership HealthPlan of California,CA,Health Plan,854913,2022-05-18,Hacking/IT Incident,Network Server,No,
Healthcare Assistance Plan for Employees of Seventh-day Adventist Organization of the North American Division,MD,Health Plan,2008,2022-05-13,Hacking/IT Incident,Network Server,No,
Parker-Hannifin Corporation Group Health Plans,OH,Health Plan,119513,2022-05-13,Hacking/IT Incident,Network Server,No,
"CareSource, Inc",OH,Health Plan,959,2022-05-06,Unauthorized Access/Disclosure,Laptop,Yes,
"Homestead Bldg Sys,Inc.Health  Plan",VA,Health Plan,727,2022-04-21,Hacking/IT Incident,Network Server,No,
The Energy Cooperative Group Benefits Plan,OH,Health Plan,875,2022-04-21,Hacking/IT Incident,Network Server,No,
"Healthplex, Inc.",NY,Health Plan,89955,2022-04-20,Hacking/IT Incident,Email,No,
SummaCare Inc,OH,Health Plan,716,2022-04-07,Unauthorized Access/Disclosure,Network Server,No,
State of Arizona Department of Administration,AZ,Health Plan,820,2022-04-05,Unauthorized Access/Disclosure,Paper/Films,Yes,
"Law Enforcement Health Benefits, Inc.",PA,Health Plan,85282,2022-03-28,Hacking/IT Incident,Network Server,No,
"Parkland Community Health Plan, Inc.",TX,Health Plan,1682,2022-03-08,Unauthorized Access/Disclosure,Paper/Films,Yes,
"LGAA, LLC",UT,Health Plan,864,2022-03-01,Hacking/IT Incident,Network Server,No,
Spencer Gifts LLC Health and Welfare Benefit Plan,NJ,Health Plan,10023,2022-01-24,Hacking/IT Incident,Network Server,No,
Oscar Insurance Corporation of Ohio,OH,Health Plan,504,2022-01-13,Unauthorized Access/Disclosure,Paper/Films,No,
Oscar Health Plan of California,NJ,Health Plan,7632,2022-01-13,Unauthorized Access/Disclosure,Paper/Films,No,
Oscar Buckeye State Insurance Corporation,OH,Health Plan,791,2022-01-13,Unauthorized Access/Disclosure,Paper/Films,No,
C.E. Niehoff & Company ,IL,Health Plan,1509,2021-12-23,Hacking/IT Incident,Network Server,No,
Duneland School Corporation,IN,Health Plan,7000,2021-12-23,Hacking/IT Incident,Network Server,No,
"Daniel J. Edelman Holdings, Inc.",IL,Health Plan,184500,2021-12-22,Hacking/IT Incident,Network Server,Yes,
Rhode Island Public Transit Authority,RI,Health Plan,5015,2021-12-21,Hacking/IT Incident,Network Server,No,
Mertz Manufacturing Inc Health Insurance Plan,OK,Health Plan,868,2021-12-03,Hacking/IT Incident,Network Server,No,
"Great Plains Manufacturing, Inc",KS,Health Plan,4110,2021-12-01,Hacking/IT Incident,Network Server,No,
Broward County Public Schools,FL,Health Plan,49608,2021-11-29,Hacking/IT Incident,Network Server,No,
Region IV Area Agency on Aging,MI,Health Plan,3171,2021-11-29,Hacking/IT Incident,Email,No,
True Health New Mexico,NM,Health Plan,62983,2021-11-17,Hacking/IT Incident,Network Server,No,
Tom Wood Inc. Health Care Plan,IN,Health Plan,2235,2021-11-11,Hacking/IT Incident,Network Server,No,
"Star Group, L.P. Health Benefits Plan ",CT,Health Plan,9316,2021-10-22,Hacking/IT Incident,Network Server,No,
Educators Mutual Insurance Association,UT,Health Plan,8661,2021-10-22,Hacking/IT Incident,Network Server,No,
"Digital Insurance, LLC doing business as OneDigital",GA,Health Plan,895,2021-09-24,Hacking/IT Incident,Network Server,No,
"Navistar, Inc. Health Plan and the Navistar, Inc. Retiree Health Benefit and Life Insurance Plan",IL,Health Plan,49000,2021-09-24,Hacking/IT Incident,Network Server,No,
